Event_ID,Event_Path,Event_Type,,Event_ID,Parameter_ID,Parameter_Name,Min,Max
1000,event:/PlayerCharacter/Movement/PC_Jogging,SFX,,0,1,MasterVolume,0,100
1001,event:/PlayerCharacter/Movement/PC_Running,SFX,,0,2,SFXVolume,0,100
1002,event:/PlayerCharacter/Movement/PC_Running_Stop,SFX,,0,3,AmbVolume,0,100
1003,event:/PlayerCharacter/Movement/PC_Jump,SFX,,0,4,BGMVolume,0,100
1004,event:/PlayerCharacter/Movement/PC_Landing,SFX,,0,5,PC_GroundID,0,3
1005,event:/PlayerCharacter/Movement/PC_Walking,SFX,,0,6,Amb_Ground_Height,0,100
1006,event:/PlayerCharacter/Movement/PC_Climing,SFX,,0,7,Amb_Ground_Inside,0,100
1007,event:/PlayerCharacter/Movement/PC_Climing_Jump,SFX,,0,8,BGM_State,0,1
1008,event:/PlayerCharacter/Weapon/PC_Weapon_Aiming,SFX,,1013,10131,PC_Charging,0,300
1009,event:/PlayerCharacter/Weapon/PC_Weapon_AimOut,SFX,,1014,10141,PC_Down_Str,0,100
1010,event:/PlayerCharacter/Weapon/PC_Laser_Fire_1st,SFX,,2008,20081,Elevator_In,0,1
1011,event:/PlayerCharacter/Weapon/PC_Laser_Fire_2nd,SFX,,2009,20091,Elevator_Stop,0,1
1012,event:/PlayerCharacter/Weapon/PC_Laser_Fire_3rd,SFX,,3000,30001,Bt_State,0,3
1013,event:/PlayerCharacter/Weapon/PC_Railgun_Charging,SFX,,,,,,
1014,event:/PlayerCharacter/Movement/Hit/PC_Down_Ground,SFX,,,,,,
1015,event:/PlayerCharacter/Movement/Hit/PC_Hit_Metal,SFX,,,,,,
1016,event:/PlayerCharacter/Movement/Standing/PC_Hand,SFX,,,,,,
1017,event:/PlayerCharacter/Movement/Standing/PC_StandUp,SFX,,,,,,
1018,event:/PlayerCharacter/Movement/PC_TurnBack,SFX,,,,,,
1019,event:/PlayerCharacter/Weapon/PC_Weapon_Transform_1st,SFX,,,,,,
1020,event:/PlayerCharacter/Weapon/PC_Weapon_Transform_2nd,SFX,,,,,,
1021,event:/PlayerCharacter/Weapon/PC_Weapon_Transform_3rd,SFX,,,,,,
1022,event:/PlayerCharacter/Weapon/PC_Weapon_Normal_Hit,SFX,,,,,,
1023,event:/PlayerCharacter/Weapon/PC_Weapon_Mob_Hit,SFX,,,,,,
1024,event:/PlayerCharacter/Weapon/PC_Weapon_Explo_Hit,SFX,,,,,,
1025,event:/PlayerCharacter/Weapon/PC_Railgun_Discharging,SFX,,,,,,
1300,event:/Drone/Movement/DR_Flying,SFX,,,,,,
1301,event:/Drone/Action/DR_Scanning,SFX,,,,,,
1302,event:/Drone/Action/DR_Talking,SFX,,,,,,
1500,event:/Mob/Global/Shield/Mob_Shield_Idle,SFX,,,,,,
1501,event:/Mob/Global/Shield/Mob_Shield_Broken,SFX,,,,,,
1502,event:/Mob/Global/Hit/Mob_Effective_Hit,SFX,,,,,,
1503,event:/Mob/Global/Hit/Mob_Ignore_Hit,SFX,,,,,,
1504,event:/Mob/Arachne/Arachne_Crash,SFX,,,,,,
1505,event:/Mob/Arachne/Arachne_Destruction,SFX,,,,,,
1506,event:/Mob/Arachne/Arachne_Walking,SFX,,,,,,
1507,event:/Mob/DaddyLongLegs/Daddy_Walking,SFX,,,,,,
1508,event:/Mob/JirungE/JirungE_Crash,SFX,,,,,,
1509,event:/Mob/JirungE/JirungE_Walking,SFX,,,,,,
1510,event:/Mob/Medusa/Medusa_Destruction,SFX,,,,,,
1511,event:/Mob/Medusa/Medusa_Scanning,SFX,,,,,,
1512,event:/Mob/Medusa/Medusa_Walking,SFX,,,,,,
1513,event:/Mob/Medusa/Medusa_Discover,SFX,,,,,,
1514,event:/Mob/Medusa/Medusa_Miss,SFX,,,,,,
1515,event:/Mob/Global/Shield/Mob_Shield_Broken_Idle,SFX,,,,,,
1516,event:/Mob/Global/Shield/Mob_Shield_Crack_1st,SFX,,,,,,
1517,event:/Mob/Global/Shield/Mob_Shield_Crack_2nd,SFX,,,,,,
1518,event:/Mob/Global/Shield/Mob_Shield_Crack_3rd,SFX,,,,,,
1519,event:/Mob/Medusa/Medusa_Transform,SFX,,,,,,
1520,event:/Mob/Medusa/Medusa_Shield_Open,SFX,,,,,,
1521,event:/Mob/Medusa/Medusa_Shield_Close,SFX,,,,,,
1700,event:/SFX/Explosion,SFX,,,,,,
1701,event:/SFX/Explosion_Small,SFX,,,,,,
1702,event:/Ambient/Test_Inside,AMB,,,,,,
1703,event:/Ambient/Test_Outside,AMB,,,,,,
1704,event:/BGM/80bpm,BGM,,,,,,
1705,event:/BGM/83bpm,BGM,,,,,,
2000,event:/Ambient/Medusa/Vent_Side,AMB,,,,,,
2001,event:/Ambient/Medusa/Vent_Ceiling,AMB,,,,,,
2002,event:/Ambient/Medusa/Vent_Background,AMB,,,,,,
2003,event:/Ambient/Medusa/Light_Guide,AMB,,,,,,
2004,event:/Ambient/Medusa/Light_On,AMB,,,,,,
2005,event:/Ambient/Medusa/Conveyor,AMB,,,,,,
2006,event:/Ambient/Ground/UnderTheCliff,AMB,,,,,,
2007,event:/Ambient/Ground/OnTheCliff,AMB,,,,,,
2008,event:/Ambient/Elevator/Elevator_Inside,AMB,,,,,,
2009,event:/Ambient/Elevator/Elevator_Move,AMB,,,,,,
2010,event:/Ambient/Medusa/Rim_Gear_1st,AMB,,,,,,
2011,event:/Ambient/Medusa/Rim_Gear_2nd,AMB,,,,,,
2012,event:/Ambient/Medusa/Rim_Gear_3rd,AMB,,,,,,
2013,event:/Ambient/Medusa/Rim_Run,AMB,,,,,,
2014,event:/Ambient/Elevator/Door_Open,AMB,,,,,,
2015,event:/Ambient/Elevator/Door_Close,AMB,,,,,,
2016,event:/Ambient/Medusa/Conveyor_Move,AMB,,,,,,
2017,event:/Ambient/Ground/Battery_Fallen,AMB,,,,,,
3000,event:/UI/Button,UI,,,,,,
4000,snapshot:/Global_Option/MasterVolume,Snapshot,,,,,,
4001,snapshot:/Global_Option/SFXVolume,Snapshot,,,,,,
4002,snapshot:/Global_Option/AmbVolume,Snapshot,,,,,,
4003,snapshot:/Global_Option/BGMVolume,Snapshot,,,,,,
4004,snapshot:/Local_Setting/DaddyLevelReverb,Snapshot,,,,,,
4005,snapshot:/Local_Setting/MedusaLevelReverb,Snapshot,,,,,,
