Event_ID,Event_Path,Event_Type,,Event_ID,Parameter_ID,Parameter_Name,Min,Max,Description
1000,event:/PlayerCharacter/Movement/PC_Jogging,SFX,,0,1,MasterVolume,0,100,전체 볼륨 컨트롤
1001,event:/PlayerCharacter/Movement/PC_Running,SFX,,0,2,SFXVolume,0,100,효과음 볼륨 컨트롤
1002,event:/PlayerCharacter/Movement/PC_Running_Stop,SFX,,0,3,AmbVolume,0,100,환경음 볼륨 컨트롤
1003,event:/PlayerCharacter/Movement/PC_Jump,SFX,,0,4,BGMVolume,0,100,배경음악 볼륨 컨트롤
1004,event:/PlayerCharacter/Movement/PC_Landing,SFX,,0,5,PC_GroundID,0,2,"글로벌, 발소리 지형 정보 (0:콘크리트, 1:메탈)"
1005,event:/PlayerCharacter/Movement/PC_Walking,SFX,,1013,10131,PC_Charging,0,100,차징 %에 따라 피치 상승 (시동거는 느낌)
1006,event:/PlayerCharacter/Movement/PC_Climing,SFX,,,,,,,
1007,event:/PlayerCharacter/Movement/PC_Climing_Jump,SFX,,,,,,,
1008,event:/PlayerCharacter/Weapon/PC_Weapon_Aiming,SFX,,,,,,,
1009,event:/PlayerCharacter/Weapon/PC_Weapon_AimOut,SFX,,,,,,,
1010,event:/PlayerCharacter/Weapon/PC_Weapon_Trigger,SFX,,,,,,,
1011,event:/PlayerCharacter/Weapon/PC_Laser_Fire,SFX,,,,,,,
1012,event:/PlayerCharacter/Weapon/PC_Impulse_Fire,SFX,,,,,,,
1013,event:/PlayerCharacter/Weapon/PC_Railgun_Charging,SFX,,,,,,,
1300,event:/Drone/Movement/DR_Flying,SFX,,,,,,,
1301,event:/Drone/Action/DR_Scanning,SFX,,,,,,,
1302,event:/Drone/Action/DR_Talking,SFX,,,,,,,
1500,event:/Mob/Global/Shield/Mob_Shield_Idle,SFX,,,,,,,
1501,event:/Mob/Global/Shield/Mob_Shield_Broken,SFX,,,,,,,
1502,event:/Mob/Global/Hit/Mob_Effective_Hit,SFX,,,,,,,
1503,event:/Mob/Global/Hit/Mob_Ignore_Hit,SFX,,,,,,,
1504,event:/Mob/Arachne/Arachne_Crash,SFX,,,,,,,
1505,event:/Mob/Arachne/Arachne_Destruction,SFX,,,,,,,
1506,event:/Mob/Arachne/Arachne_Walking,SFX,,,,,,,
1507,event:/Mob/DaddyLongLegs/Daddy_Walking,SFX,,,,,,,
1508,event:/Mob/JirungE/JirungE_Crash,SFX,,,,,,,
1509,event:/Mob/JirungE/JirungE_Walking,SFX,,,,,,,
1510,event:/Mob/Medusa/Medusa_Destruction,SFX,,,,,,,
1511,event:/Mob/Medusa/Medusa_Scanning,SFX,,,,,,,
1512,event:/Mob/Medusa/Medusa_Walking,SFX,,,,,,,
1700,event:/SFX/Explosion,SFX,,,,,,,
1701,event:/SFX/Explosion_Small,SFX,,,,,,,
1702,event:/Ambient/Test_Inside,AMB,,,,,,,
1703,event:/Ambient/Test_Outside,AMB,,,,,,,
4000,snapshot:/MasterVolume,Snapshot,,,,,,,
4001,snapshot:/SFXVolume,Snapshot,,,,,,,
4002,snapshot:/AmbVolume,Snapshot,,,,,,,
4003,snapshot:/BGMVolume,Snapshot,,,,,,,
